cwns_id,facility_name,state_code,case,correct_rank,rank1_score,correct_score,rank1_lat,rank1_lon,rank1_owner,rank1_lbcs_activity_desc,rank1_ll_gisacre,reported_lat,reported_lon,rank1_ll_uuid,correct_ll_uuid,reviewer,reviewed_at,reviewer_notes
10000004001,Millsboro State Street  STP,DE,wrong_top_pick,4.0,0.94225,0.9129166666666666,38.59431468750005,-75.28882743749996,MILLSBORO TOWN OF,,4.34568,38.588722,-75.283194,010647c1-d08d-4d66-9222-6ddaa7a6b4cd,76566805-b0d0-4413-8c04-aa03cfe26ece,Andrew,2026-08-26T21:23:52.983398+00:00,
28000000078,Copiah County Industrial Park,MS,wrong_top_pick,4.0,0.9299166666666666,0.8923333333333334,31.923235111111158,-90.3936757222222,COPIAH COUNTY (COUNTY JAIL AND,"Industrial, manufacturing, and waste-related",9.60168,31.91198,-90.398287,7589f501-0d57-46ed-a17a-ff85587d3e88,f0b81974-8619-407f-b038-e6bd731c54e9,Andrew,2026-08-27T14:05:14.582403+00:00,
28000080001,BELMONT POTW,MS,reported_beat_top_pick,,0.9818333333333334,,34.50916938372098,-88.200304244186,TOWN OF BELMONT,,53.08866,34.5115,-88.2011,506e6af3-122c-49db-b640-0edb7af2e701,,Andrew,2026-08-26T21:08:18.421813+00:00,
28000360001,DURANT POTW,MS,wrong_top_pick,2.0,0.9604166666666665,0.9303333333333331,33.08326320370376,-89.8527536481481,DURANT CITY OF,Leisure,15.15927,33.0772,-89.8446,67c9114e-dbf8-40a8-9d84-e22a2aea4b34,dcd275a2-0f9e-4535-b96d-34b6c9c40271,Andrew,2026-08-27T14:07:22.702174+00:00,
28000940002,DCRUA - Ross Road/Olive Branch POTW,MS,reported_beat_top_pick,,0.9504166666666666,,34.93439422580651,-89.83920848387093,CITY OF OLIVE BRANCH,Leisure,60.87046,34.9354,-89.8455,bab0d980-48e3-45d2-b32b-c2ae56d09fb6,,Andrew,2026-08-26T21:10:02.020209+00:00,
28001250001,STARKVILLE POTW,MS,wrong_top_pick,4.0,0.9383333333333331,0.921,33.437728388888935,-88.83148965277775,CITY OF STARKVILLE,Promenading and other activities in parks,52.34591,33.428726,-88.827788,15cecce6-9b69-4ebb-9152-d123227df20e,56ae89ad-ff0b-48a8-9546-ff41c32042f2,Andrew,2026-08-27T14:08:09.751325+00:00,
28001355001,TYLERTOWN POTW,MS,wrong_top_pick,2.0,0.97125,0.9483333333333334,31.11245561538467,-90.12982974519227,TOWN OF TYLERTOWN MISSISSIPPI,Leisure,28.26343,31.1071,-90.1293,3b8ea794-faa8-44c9-8638-c5e1a0e21eee,063ff7a4-d1ce-4ba7-a9ed-ad8f8078d4c0,Andrew,2026-08-26T21:11:13.132045+00:00,
39000000154,Palestine-Hollansburg Joint SD WWTP,OH,wrong_top_pick,3.0,0.7927999999999997,0.7353000000000001,39.99629380000006,-84.79509206666664,VILLAGE OF HOLLANSBURG,,3.06773,39.993889,-84.801944,24e4f2a8-82fb-4306-9843-6265734811ab,dc375470-6e95-49ea-a634-581a1a5b0972,Andrew,2026-08-26T21:15:32.459471+00:00,
39000000236,North Adams Regional Sewer District WWTP,OH,wrong_top_pick,2.0,0.8892166666666665,0.8625595238095236,38.94561470000005,-83.61047249999994,BOARD OF EDUCATION ADAMS COUNTY OHIO VALLEY LOCAL SCHOOL DISTRICT,,5.54396,38.945324,-83.618473,ccdbaa33-d334-43b7-990b-b6fe1f6c7e3f,880bbf94-47ef-4e39-81bb-b50ad4da4448,Andrew,2026-08-27T14:13:30.911851+00:00,
39000016001,Fayetteville-Perry Twp RSD WWTP,OH,wrong_top_pick,2.0,0.9605261904761906,0.9552738095238095,39.18998662500005,-83.92853729166663,INCORPORATED VILLAGE OF FAY,,5.96871,39.1852,-83.9176,e579d77d-00ee-4e2f-859d-252556cc3733,875ed6b4-f6b6-4344-a6ac-0948dd2b816a,Andrew,2026-08-27T14:18:51.797811+00:00,
